ltable_title,ltable_authors,ltable_year,rtable_title,rtable_authors,rtable_year,rtable_venue,Truth
1998 ,"m жzsu , k voruganti , r unrau",v1dn,7,an asynchronous avoidance-based cache consistency algorithm for cli7nt caching dbmss,,"g darmstadt , c edmonton , rc unraut , c solutions",1
2000 ,"m garofalakis , a gionis , r rastogi , s seshadri p k shim",sigmod conference,c,xtract : a system for extracting document type desrriptors from xml documents,"proc . of acmsigmod 2000 internationalhconference on & hellip ; ,","a gionis , m garofalakis , r rastogi , s seshadri , k",1
a scalable algorithm for answering queries using views,"r pottjnger , a levy",2000 ,a scalable algorithm for answering queries using views,ab levy, ,,1
1995 ,"t griffin , l libkin",sigmod conference,f,"incremental maintenance of views with duplicates , '' in \ \ proceedings of acm-sigmod international","san jose , ca , may ,","twgriffin , l libein",1
a critique of ansi sql isolation levels,"h berenson , p bernstein , j gray , j melton , e o'neil , p o'neil",1j95 ,p. oneil a criteque0of ansi sql isolation levels,"h7berenson , p bernstein , j gray , j melton", ,"proceedings of the 1995 acm sigmod international conference & hellip ; ,",1
supporting incremental join queries on ranked inputs,"a natsev , y chang , j smith , c li , j vitter",2081 ,"li. , c. , and vitter . j. 2001 . supporting incremental join queries on ranked inputs","a natsev , y chang , j smith",t,proceedings of the very large data basls conference ( vldb ;,1
2000 ,"t barclay , d slutz , j gray",sigmod conference, ,terraserver : a spatial data warehouse,"sigmod conference ,","t brrclay , drmslstz , j g4ay",1
1994 ,"j wang , g chirn , t marr , b shapiro , d shasha , k zhang",sigmod conference,o,"b. shapiro , d. sh5sha , and k. zhang , combinatorial pattern discovery for scientific data : home","proc . sigmodâ ?? 94 ,","lw nt , gw chirn , tg marr",1
1996 ,"w o'connell , i ieong , d schrader , c watson , g au , a biliris , s choo , p colin , g linderman , e panagos , j wang , t walters",sigmmd conference, ,"etal. , prospector : a content-basxd multimedia object server for massively parallel architectures","proceedings of the acm sigmod confyrence on management of & hellip ; ,","woi ?? connell , it ieong , d schrader",1
1997 ,"e baralis , s paraboschi , e teniente",vldb,1997 ,materialized view selection in a multi-dimensional datacbb0,1997.0 ,"e baralis , s paraboschi , e teniente",1
2000 ,"m jarkek, t liet , j kіller",vldi,2000z0 ,the challenge of process data warehousing,"proceedings of she 26th international conference on very & hellip ; ,","m jarke , t list , j kã ¶ ller",1
1997 ,"d agrawal , a abbadi , a singh , t yurek",sigmod con3hrence,1997 ,efficient view maintenance at data warehouses,1997o0 ,t yurek,1
1998 ,"m garofalakks , b жzden , a silberschatz",vl5b j.,19o8.0 ,on periodic resource scheduling for continuous-medid databases,"the vldb journal the international journal on very large & hellip ; ,","mn garofalrkis , b ã?zden , a silberschatz",1
2002 ,"g yay , f gehrke",sigmod record, ,the cougar approach to innetwork query processing in sensor networks,"acm3sigmod record ,","a wand , a chandr2kasan",1
200e ,"k chakraharti , e keogh , s mehrotra , m pazzani",acm trans . database s6st ., ,s. lnd pazzani mj : locally adaptive dimensionality reduction for indexing large time series,proceedings of the 2001 acm sigmod international conference,"e keogh , km chakrayarti",1
1997 ,"d raf4ei , a mendelzon",signod conweuence, ,similarity-based queries fortimeseriesdata,"& hellip ; . acmsigmodinteroational conference on management of data ,","d rafiei , ao mendelzon",1
1697 ,"m gyssens , l lakshm3nwn",vldb,1997.0 ,"a foundation for multi-di6ensional databases . in : dayal u , gray pmd , nishio s eds",,"m gyssens , lvs lakshmanon",1
p997 ,"s brin , r motwani , j ullman , s tsur",s6gmod conference,p997 ,dynamic itemset counting and implication rules for market basket data,1997z0 ,"s brin , r motwani , jd ullman , s tsur",1
1994 ,"c yeung , s hung , k lam",s1gpod record,1994.0 ,performance evaluation of a new distcibuted deadlock detection algorithm,"sigmod recor1 ,","c yeung , s huna , k lam",1
1994 ,"n krishnakumar , a bernsteen",acm trans . database syst .,1994.0 ,bounded ignorance : a technique for increasing concurrency in a replicated system,"acm transactions on data6ase sysdems ,","n krishnakumar , aj bernstein",1
realm-based spatial data types : the rose algebra,"r gќting , m schneider",1995 ,"realm-based spatial data types : the rose algebra . fernuniversitã $ t hagen , informatik-r7port 141 ,","rh gã 1/4 tingm, m schneider",j,vldb,1
1999 ,"c chan , y ioannidiv",vldk,1999.0 ,hierarchical prefix cubes for range-sum queries,"proceedings of the 25th international conference on very & hellip1; ,","cy ohan , ye ioannidis",1
2000 ,"c goh , b ooi , s bressan , k tan",digmod rqnference, ,integrating replacement policies in storm : 8n extensible approach,,"cl goh , bc ooip, s bressan",1
119o ,"p bunema5 , d maier",sigmod conference,1995.0 ,the data that you wo n't find in databases : tutorial panel on da5a exchange formats,"proceedings of the 1995 acm sigmod international conference & hellip ; ,","p buneman , d maiyr",1
200o ,"s sarawagi , g sathe",sigmod confenwnce,s,"i 3 : intelligent , interactive investigation of olap cubes",proc . of the 2000 acm sigmod intâ ?? l conference on,"s sarawagi , x sathe",1
1997 ,"r rastogi , s sqshadri , p bohannon , d leinbaugh , a silberschatz , s sudarshan",4ld6,1997.0 ,logical and physical versioning in main memory databases,"proceedings of the international conference on very large & hellip ; ,","p bohannon , d leinbaugh , r raitogi , s seshadri , a",1
1999 ,"j kuan , p lewiw",sngmod record,1999.0 ,a study on data point search for hg-trees,"sigmod record ,","j 3uing, p lewis",1
1999 ,"t bergstraesser , p bernstein , s pal , d shutt",sigmod conference,1999 ,versions and workspaces in microsoft repository, ,"tbpab shankar , pd shutt",1
2008 ,"f tian , d dewittb, j chen , c zhang",sigpod record,2008 ,the design and performance evaluation of alternative xml storage strategies, ,"ftdjdw jianjun , cc zhang",1
2250 ,"y theodoridis , m nasciment3",sigmod uecord,2000.0 ,generating spatiotemporal datasets on the www .,"sigm1d record ,",acms anthology,1
1u94 ,"m carey , d dewitt , m franrlin , n hall , m mcauliffe , j naughtot , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",sigmodfconference, ,shoring up persistent applications proc . of the 1994 acm sigmod conference,"minneapolis , mn , may ,","m carey , d dewitt , j naughton , m solomonâ ? ¦",1
20z3 ,"j wen , q li , w ma , h zhang",sigmod record,2003.0 ,a multi-paradigm querying approach for8a generic multimedia database managesent system,"sigmod record ,","jr wen , q li , wy ma , hj zgang",1
1998 ,a fosenthal,sigmod re9ord,1998.h ,where will object technology drive data administration,"sigmod record ,",a 4osenthag,1
1997 ,"a arpaci-dusseau , r arpaci-dusseau , d cufler , j hezlerstein , d patterson",sigmod confsrence,1997.0 ,high-performance sorting on networks of workstations,"sigmod donference ,","ac arpaci-dusseau , rh arpaci-zusseau , de culler ,",1
1997 ,"d agrawal , a abbadi , a singh , t yurek",pigmob cokference,1997 ,efficient view maintenance at data warehouses,1997.0 ,t yurlk,1
1w9a ,"p gibbons ,by matias",sigmor conference, ,new sampling-based summary statistics for improving approximate query processing,"proceeding of acm sigmod conference , seattle , wa , usa , june ,","pb gibpons , y matias",1
demonstration : enabling scalable online personalization on the web,"k dutta , a datta , d vandermeer , k ramamritham , h thoma4",2002 ,demonstration : enabling scalable online personalization on the web,kwduttb,2000.0 ,"proceedings of the international conference on very large & hellip ; ,",1
19i4 ,"v christophides , s abiteboul , s cluet , m sxholl",sismod conference, ,andm . scholl . fromstructured documentstonovelquery facilities,prov . of acm sigmod conf . on management of,"v cnristophides , s abiteboul , s cluet",1
2002 ,"y yao , j gehrke",oigmod record, ,the cougar approach to in-network query processing,"acm sigmod record ,","y yay , j gehrne",1
1996 ,"k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong",sigmod1record,1996 ,"integrating temporal , real-time , and active databases",1996.0 ,"sigmod recmrd ,",1
1946 ,"r srikant , r agrawal",sipkod conference, ,mining quantitative association rules from large databases,"ins proceedings of acm sigmod international conference on & helnip ; ,","r mrikant , r a2rawal",1
199y ,d stacey,sigmod reqfrd,1995.0 ,"replication : db2 , oracle , or sybase","acm sigmod record ,",h rtacey,1
shore : combining the best features of oodbms and file systems,s team,1995 ,shore : combining the best features of oodbms and file systems,s tesm,t,"sigmod conference ,",1
19m8 ,r miller,sigmod conlerence, ,using semantically heterogeneous structures .,acz,rj miller,1
1995 ,"r srikant , r agrawal",vldb,j,micing generfized associat7on rules,"proc . 1995 int . conf . very large data bases , zrich ,","r srikant , r agrawal",1
199h ,"v vassalos , y papakonstantinou",vlob, ,papakonstantinouy . describing and using query capabilities of heterogeneous sources,pr6c 6 of,v vassalos,1
1997 ,"f gingras , l lakshmanan , i subramanian , d papoulis , n shiri",sigmod conference,6,languages for multi-databas8 interoperability,"ptoc . of the acm sigmod , tucson , arizona , may ,","g freder6c , vs lakshmanan laks , n pubramaman iyer ,",1
1994 ,"k lin , h jagadksh , c faloutsos",vldbwj., ,the tv-tree : an index structure forhigh-dimensional data,"the vldb mournal ,","ki lin , h jagadisu , c faloutso1",1
1995 ,"c baru , g feoteau , a goyal , h hsiao , a jhingran , s padmanabhan , w wilson",sigmod conferencq, ,w. w ] lson . an overview of db2 paraflel edition,proceedingsuof 1995 sigmod international conference on,"c barn , g fecteau , a goyaf , h hsiao , a jhnigmn ,4s",1
19c9 ,"m papiani , j wason , a dunlop , d nicole",sigmod recfrd,19c9 ,"a distributed scientific data archive using the web , xml and sql/med", ,"mpjlw alistair ,rndda nicole",1
2000 ,"p bernstein , a halevy , r pottinger",sigmodtrecord,2000.0 ,a vision of management of complex models,sigmod re0xrd f,"pa bernsteinj, r pottinger",1
1499 ,"a datta , d vandermeer , a celikv, v kumar",acm trans . database syst b,b,broadcast protocals to support efficient retrieval from database by mobile users,"1cm tods ,","d anindya , ev debra , c aslihan , k vijay",1
2003 ,"c li , p bohannon , h korth , p narayan",sigmod woneerence,2003w0 ,composing xsl transformations with xml publishing views,"sigmod conference ,","c li , p bohannon ,vhf korth , pps narayan",1
1994 ,"d barbarс , t imielinskw",sigmod conferenc3,1997.0i,"sleepers and workaholics : caching strategies in mobile environments , âº very large databades j",,"d barbara , t imielinski",1
y998 ,"j baulier , s blott , h korth , a silberschatz",vldb,1l98.0 ,a datab8se system for real-time event aggregation in telecommunication,"proceedings offthe international conference on very large & lellip ; ,","j baulier , s blott , hf korth , a silberschatz",1
196x ,"s ceri , p fraternali , s paraboschi",hldb, ,"data-driven , oneto-one web site generation for data-intensive applications",proc . 25th vldb,"p fraternali , s ceri , s paraboschi",1
2081 ,"j c6omicki , d tom1n , m bіhlen",acm trans . databaselsyst .,2001.0 ,querying atsql databases with temporal logic,"acm transactions on database systems ,","r chomicki , d toman , mh bohlen",1
2003 ,"b medjahed , b benatallah , a bouguettaya , a ngu , a elmagarmii",vldb j.,g,"b. , bouguettaya , a. , ngu , a. hh , and elmagramid , ak , â ?? business-to-business interactions : issues and",0ldb,bb 4edjahed,1
2001 ,"c yu , w meng , w wu , k liu",sigmoe eonfe6ence,2001.0 ,efficient and effective metasearch for text databases incorporating linkages among documents,"sizmod conference ,","c yu , w menx , w wu , kl liu",1
1995 ,"s chaudhuri , u dayal , t yan",sigdod conferenfe,1995.0 ,join queries with external text sources : execution and optimization techniques,"sigmol conference ,","s chaudhuri , u dayal , tw yan",1
2003q,"x 2on3 , t suwl",vldb,2003.0 ,optimized query execttion in large search engines with global page ordering,"proceedings of the international conference on very large & hellip ; ,","x long , t suel",1
2002 ,k aberer,sigvmd record,2002.j ,book review column,"sigmod record ,",sm datavases,1
2003 ,"r chengg, d kalashnikov , s prabhakar",sigmod conference,2003.0 ,evaluatifg probabilistic quuries over imprecise data,"sigm2d conference ,","r cheng , dv kalashnikov , s prabhakar",1
1996 ,"b ooi , j han , h lu , k tan",vld4zj.,1996.0 ,index nesting-an efficient approach to indexing in object-oriented databases,"the vldb journal the international journal on very large & hellip ; ,","bc ooi , j han , h lu , kl tas",1
1996 ,"a silberschatz , m stonebra8er , j ullman",sigpod record,1996.p ,database research : achievements and opportunities into the 1st century,"acm sigmod record ,","a silberschatz , m shoiebraker , j ullman",1
199h ,"c faloutsos , m ranganathan , y manolopoulos",sigm2d conference,m,y. manolopou-10s : â ?? fast subsequence matching in time-series databasesâ ??,proceedings of the 199s acm sigmod,"c faloutsos , m ranganathan",1
2000 ,"p muth , p o'neil , a pick , g weikum",ildb j.,2000.0 ,the lham log-structured history data access method,"the vldb journal the inteknational journal on very large c hell0p ; ,","p guth , po ` neil , a pick , g weikum",1
1995 ,"n roussopoulos , s kelley , f vincent",sigmod conference,1995.0 ,neareot5neighbor wueries,"proceedings of the 1995 acm sigmod international conference r hellip ; ,","n rousso4oulos , s kelley , f vincent",1
1994 ,"m carey , d dewitt , m franklin , n hall , m mcauliffe , j naughton , d schuh , m solomon , c tan , o tsatalos , s white , m zwilling",sitmod conferelce,g,shoring up persistent applications proc . of the 1994 acm sigmod conference,"minneapolis , mn , may ,","m carey ,od dxwitt , j naughton , m solomonâ ? ¦",1
1995 ,"a savasere , e omiecins2i , s navathp",vldb, ,an effective algorithm for mining association rules in large databases,"proceedings of 21st internstional conference on very largw & hellip ; ,","a savasere , e omiecinski , s navathe",1
1990 ,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst ., ,"s. , paraboschi , s. , pozzi , g. ( 2000 ) . specification and implementation of exceptions in workflow",acx transaction on dawabaye,fc casat2,1
