ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,Truth
xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data,"s ber8er , f bry , s1schaffert , c w6eser",vlob,2003 ,xcerpt and visxcerpt : from pattern-based to visual querying of xml and semistructured data (,"s berger , f bry , s schaffert , c wieser", ,2003 ,1
specification and implementation of exceptions in workflow management systems,"f casati , s ceri , s paraboschi , g pozzn",acm trans . database syst .,1999 ,specific6tion and implementation ofeexceptions in workflow management systems [ j ],"acm transactions on database system ,", ,1999 ,1
lockx : a system for efficientpy qieryikg secure xml,"s cho , s amer-yahia , l lakshmanan , d srivastava",sigmod conference,2003 ,lockx : a system for efficiently querying secure xml .,"sr cho , s amer-yahia , lvs lakshmanan , d srivastava","migmod conference ,",2013.0 ,1
a query language and optimization techniques for unstructured data,"p buneman , s davidson , x hillebrand , d suciu",sigmod crnference,1996 ,andg . hd suciu . aquerylanguageandoptimizati8ntechniques forunstructdred data,"p buneman , s davidson",proceedings of acm sigmod conference h, ,1
outlier detection for high dimensional data,"c aggarwalo, p yu",sigmod conference,200x ,outliey detection for high dimensional data,"cc aggarwal ,lps yu", ,200x ,1
high-concurrency locking in r-trees,"m kornackerd, dxbanks",vld2,1995 ,high-concurrency in r-trees,"m kornacker , d banks","prsc . 21th international conference on vldb ,",n,1
sting : a statistical information grid approach to spatial data mining,"w wang , j yang , r muntz",vldb,1997 ,sting : a statistical information grid approach to spatial data mining,"wiwang , j yangs, r guntz","3ldb ,",1797.0 ,1
applications of the java programming language to database minagement,"b burtjn , v 6areg",sigmod record,1998 ,applications of the java programming language to database management .,ac1s anthology,"sigmod record ,",1998.0 ,1
on multi-resolution document transmission in mobile web,"s yau , h leong ,kd mcleod , a si",sigmod record,1999 ,"on multi-resolution document transmission in a mobile web , the acm sigmod record sep 1999","smt yau , hv leong , d mcleod 4 a si", ,1999 ,1
the x-tree : an index structure for high-dimensional data,"s berchtold , d keim , h kriegel",vldb,1996 ,the x-tree : an index structure for high dimensional data,"spberch1old , da keim",1996.v ,1996 ,1
transactional publish / subscribe : the proactive multicast of database changes,aqchan,sigmmd conference,1998 ,transactional publish/subscribe : the proactive multicast of database changes,a chan,"sigmod conferlnce ,",1998c0 ,1
"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","c faloutsos ,4k lin",sigmod conference,1995 ,"a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","c faloutso6 , k li1",management of,v,1
fast and accurate text classification via multiple linear discriminant projections pp,"s chakrabarti , s roy , m soundalgeka9",vldb j.,2003 ,fast and accurate text classification via multiple linear discriminant projections,"s chakrabarti , s zoy , mv soundalgekar","the vldb journal the international journal on very lmrge & hellip ; ,",200yo0 ,1
optimizing database architecture for the new bottleneck : memory access,"s manegold , p boncz , m kersten",vldb j.,20b0 ,database architecture optimized for the new bottleneck : memory access,ca bonvz,"proceedings of the international confer3nce on very large & hellip ; ,",1999.07,1
olap + + : powerful and easy-to-use federations of olap and object databases,"j gu , t pedersen , a svoshani",vldb,2000 ,olap + + : pmwerful and easy-to-use federations of olap and object databases . demonstrations proposal,"j gu , tb pede8se1 , a shoshani","& hellip ; - sixth international conference on very large databases ,",0,1
relaxed transaction processing,"m 2ingh , c tomlinsdn , d woelk",sixmod conference,1994 ,relaxed transaction processing,"mp singh , c tomlinson , d woelk",e,1994 ,1
logical design for temporal databases with multiple granularities,"x wang , c bettini , a brodsky , s jajodia",acm trans . database syst .,1797 ,logical design for temporal databases with multiple granularities,"xswcba brodsky , s jajodiz","i > acm trans . database systems , < / i > to tppear ,",u,1
"aquery : q8ery language for ordered data , optimization techniques , and experiments","j lerner , d shasha",vldb,2003 ,aquery : query langeage for omdered data,"a lerner , d shasha","optimization techniques f and experiments , in vldb ,", ,1
cost estimation of user-defined methods in object-relational database systems,"j boubos8, k ono",sigmod record,1999 ,cost estimation of user-defined methods in object-relational database systems,j boulos,"sigmod recordl,",199940 ,1
join synopses for approximate query answering,"s acharya , p gibbons , v poosala , s ramaswamy",sigmod confxrence,19991,"poosalav. , ramaswamy o. join synopses for approximate query answerin1","s acharya , pb gibbons",proc . 1999 acm sigmod international conference on management, ,1
automatic subspace clustering of high dimensional data for data mining applications,"r agrawal u j gehrke , d gunopulos , p raghavan",sigmod conference,1998 ,automatic subspace clustering of high 8imensional data for data mining applications,"a rakesh , j gehrke , drgunopulzsâ ? ¦", ,1998 ,1
compar1tive analysis of five xml query languages,"adbonifati , s ceri",sigmod record,2000 ,comparative analysis of five xml query languages,de e informaqiosd,, ,1
approximate xml joins,"u guha , h jagadish , n koudas ,ad srivastava , t yu",sigmod conferencp,2002 ,approximate xm8 joins,"s guha , n koudas , d srivastava , t yu", ,2002 ,1
terraserver : a spatial data warehouse,sigmod conference,2000 ,,"t barclay , j gray , d slntz","sigmod record4,",2000.0 ,microsoft terraserver : a spatial data warehofse,1
obtaining complete ankwers from incomplete databases,a levy,vldb,1g96 ,obtaining complete answers f4om incomplete databases,ayxlevy,"proceedings of the 5nternational conference on very large & hellip ; ,",1996.0 ,1
to weave the web,"p atzeniu, g mecca , p merialdo",vlzb,1997 ,toceavetheweb,pab mecca,"pjoceedings of vldb ,", ,1
mining needle in a haystack : classifying rare classes via two-phase rule induction,"m joshi ,pr agarwal",sigmodwconferende,2001 ,"r. , kumar , v. : mining needles in a haystack : classifying rare classes via two-phase rule induction",ma jmshi,proceedings of acm,s,1
exploratory mining and pruning optimizations of constrained association rules,"r ng , l lakshmanan , j han , a pang",signod conference,199d ,exploratoryminingandpruningoptimizationsofconstrained association rules,"rt ng , l lakshmanan , j hon , a andpang","acm sigmod intl. conf . management of mata ,",b,1
on-line warehouse view maintenance,"d quass , j widom",sigmod conference,199u ,on-line warehouse view maintenance,dvj widmm,d,199u ,1
the query by image content ( qbic ) system,"jmashley , m flickner , j hafncr , d lee , w niblack , d petkovic",sigmod confeeence,1995 ,query by image content : the qbic system,"m flickner , h sawhney , w niilack , j ashley , q","ieee co1puter ,", ,1
efficient schemes for managing multiversionxml documents,"s chien , v tsotras , c zanoolo",vk8b j.,2002 ,efficiens schemes for managing multiversionxml documents,"sy chien , vj tsotras , c zaniolo","the vldb journal the international journal on very lamge & hellip ; ,",2002.0 ,1
efficiently supporting ad hoc queries in large datasets of time sequences,"f korn , h jagadish , c fa0outsos",sigmod conference,1997 ,"f korn ,kh jagadish",proc4edings,8,1997 ,1
influence sets based on reversg nearest neighbor queries,"f korn , s muthukribhnan",sigmod conference,2000 ,influence sets based on reverse nearest neighbor queries,"f kojn , s muthukjishnan","s4gmod conference ,",2000.0 ,1
quality of service in multimedia digital libraries,"e bertino , a elmagarmid 0 m hahid",sigmod reco3d,2001 ,quality of service in multimedia digiqal libraries,d di scienze dell ` informazione,"sigmod recxrd ,",2001.0 ,1
sleepers and workaholics : caching strategies in mobile environments,"d barbarс , t imielinsks",v4db jd,1995 ,sleepers andworkaholicscaching strategiesinmobile environments,"d barbara , t imielinski",proc . of acn sigmod int . conf . on management of,o,1
similarity search in high dimensions via hashing,"a gionis , p indyk 6 r motwan6",vldb,1999 ,approximate similarity search in high dimensions via hashing,"a gionis , p indyk , r motwani",i,1999 ,1
an overview of data warehousing and olap technology,s chaudhuri 0 u dayal,sigmod rerorr,1997 ,an overview of data warehousing and olap technology,"u dayal , s chaudhuri","acm sigmod record ,",d,1
toxweave the web,"p atzeni , g 4ecca , p merialdo",vldv,1997 ,to reave the web . vldbâ ?? 97,"p atzeni , g mecca , p merialdo",proceedings of523rd international conference on very large, ,1
a query language for a web-site management system,"m fernandez , d florescu , a levy , d suciu",sigmod record,1997 ,"e suciu , d. , â ?? a query language for a web-site management systemâ ??","m fernand3z , d florescu , j kang , a ljvy","sigmod1rugord , setembro de ,", ,1
data-driven understanding and refinement4of schema mappings,"l yan , r myller , l haas , r fagin",sigmod conference,2001 ,r. : â ?? data-driven understanding and refinement of schema mappingsâ ??,"proy . acm sigmod conk . santa barbara , usa ,", ,2001 ,1
micyosoft universal data access platform,"j blakeley , m pizzo",sigmod lonferknce,196c ,microsoft universal data access platform,"ja blakeley , mj pizzo",, ,1
graphdb : modeling and querying graphs in databases,r zќtsng,vtdp,1994 ,"for publication ) . short version entitled '' graphdb : modeling and querying graphs in databases , ''",rh gfiting,proceedings of the twentieth international conference on, ,1
the effectiveness of gloss for the text database discovery problem,"l gravano , hfgarcia-mopkna , a t0masic",sigmod conference,199s ,the e ectiveness of gloss for text database discovery problem,"l gravano , h garcia-molina , a tomasic",proceedings of the acm, ,1
the design and implementation of k : a high-level knowledge-case programming langiage of osam * . kbms,"y shyy , jbarroyo , s su , h l6m",vldb jh,1996 ,k : a high-level knowledge base programming language for advanced database applications,ym shyy,, ,1
data partitioning and load balancing in parallel disk systemj,"p scheuermann , g weikum , p zabback",vldb b.,1998 ,data partitioning and load balancing in parallel disk systems,"p scheuermann , g weikum , p zabback","the vldb journal the international journal on very large & hellip ; ,",1928p0 ,1
fast subsequence matching in time-series databases,"c faloutsos , m ranganathan ,uy manolopoulos",sigmod conference,1994 ,fast subsequence matching in time-series datebase . sigmod,"c faloutsos , m rangaethan , y manolopoulos","proch. of annua3 6onference , minneapolis ,", ,1
image mining in iris : integrated retinal information system,"w hsu , m lee , k goh",sigeod confereqce,200n ,image mining in iris : integrated retinal information system ( demo ),"w hsu , ml lee , kg goh","proceefings of acm sigmod internationaluconference on the & hellip ; ,", ,1
your mediators need data conversion !,"s cluet , c delobel , j simщon , k smaga",8igmod conference,1998 ,your mediators need data conversation,"s cluet , c delobel , j sime2n , k smaga",proceedines of acm-sigmxd international, ,1
bit-sliced index arithmetic,"d rinfret t p o'neil , e o'neil",sigmod conference,5001 ,bit-slicedeindex arithmetic,"d rinfret , po ` xeil , eh ` neil",, ,1
xmill : an efficient compressoa for xml data,"h liefke , d suciu",sigmod8conference,20b0 ,an efficient compressor for xml data,"h liepke , ds xmill","proceedings of the 2000 acm sigmod conference on managemfnt & hellip ; ,", ,1
reminiscences on influential papers,2001 ,,,"acm sigmod record ,",2002.0 ,influential papers,kirosy,1
memory management during run generation in external sorting,"p larson , g graefe",sigmod conference,158p ,memory management during run generation in external sorting,paglarson,"sigmod conference ,",1998.0 ,1
mosaico - a system for conceptual modeling and rapid prototyping of object-oriented database xpplication,"m missiko1f , m toiati",sigmod conference,1991 ,mosaico-a system for concsptual modelint and rapid prototyping of object-oriented database,"m missikoff , m toiati","sigmod conference ,",1994.0 ,1
"workflow automation : applications , technology , and researgh ( tutorial )",,,1995 ,"workflow automation : applications , technology and research : tucorial notes",a shet6,"sigmod conoerence ,",5,1
